url,source,entity_type,entity_id,status_code,final_url,redirect_hops,canonical,robots_meta,x_robots_tag,in_sitemap,internal_links_to_url,index_intent,notes
https://www.poshaktaranom.ir/products/cotton-twill-skirt-suit-tanin,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/cotton-twill-skirt-suit-tanin,0,https://www.poshaktaranom.ir/products/cotton-twill-skirt-suit-tanin,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/mom-style-cotton-pants,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/mom-style-cotton-pants,0,https://www.poshaktaranom.ir/products/mom-style-cotton-pants,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-sarinaz,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-sarinaz,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-sarinaz,"index, follow",,yes,7,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-minoo,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-minoo,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-minoo,"index, follow",,yes,7,INDEX,
https://www.poshaktaranom.ir/products/linen-pants-neda,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-pants-neda,0,https://www.poshaktaranom.ir/products/linen-pants-neda,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-barana,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-barana,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-barana,"index, follow",,yes,7,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-niki,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-niki,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-niki,"index, follow",,yes,7,INDEX,
https://www.poshaktaranom.ir/products/blouses00009,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/blouses00009,0,https://www.poshaktaranom.ir/products/blouses00009,"index, follow",,yes,7,INDEX,
https://www.poshaktaranom.ir/products/linen-vest-skirt-set-baran,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-vest-skirt-set-baran,0,https://www.poshaktaranom.ir/products/linen-vest-skirt-set-baran,"index, follow",,yes,3,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-yaghoot,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-yaghoot,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-yaghoot,"index, follow",,yes,5,INDEX,
https://www.poshaktaranom.ir/products/linen-heart-shirt-manteau-behgol,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-heart-shirt-manteau-behgol,0,https://www.poshaktaranom.ir/products/linen-heart-shirt-manteau-behgol,"index, follow",,yes,5,INDEX,
https://www.poshaktaranom.ir/products/linen-bow-tie-shirt-manteau-behgol,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-bow-tie-shirt-manteau-behgol,0,https://www.poshaktaranom.ir/products/linen-bow-tie-shirt-manteau-behgol,"index, follow",,yes,5,INDEX,
https://www.poshaktaranom.ir/products/linen-butterfly-shirt-manteau-behgol,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-butterfly-shirt-manteau-behgol,0,https://www.poshaktaranom.ir/products/linen-butterfly-shirt-manteau-behgol,"index, follow",,yes,5,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-tina,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-tina,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-tina,"index, follow",,yes,4,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-zhinoos,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-zhinoos,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-zhinoos,"index, follow",,yes,4,INDEX,
https://www.poshaktaranom.ir/products/linen-kaftan-afagh,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-kaftan-afagh,0,https://www.poshaktaranom.ir/products/linen-kaftan-afagh,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-abnous,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-abnous,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-abnous,"index, follow",,yes,4,INDEX,
https://www.poshaktaranom.ir/products/linen-shirt-manteau-nazgol,sitemap,pdp,,200,https://www.poshaktaranom.ir/products/linen-shirt-manteau-nazgol,0,https://www.poshaktaranom.ir/products/linen-shirt-manteau-nazgol,"index, follow",,yes,4,INDEX,
https://www.poshaktaranom.ir/category/winter-wear,sitemap,category,,200,https://www.poshaktaranom.ir/category/winter-wear,0,https://www.poshaktaranom.ir/category/winter-wear,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/vest-pants-set,sitemap,category,,200,https://www.poshaktaranom.ir/category/vest-pants-set,0,https://www.poshaktaranom.ir/category/vest-pants-set,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/vest-skirt-set,sitemap,category,,200,https://www.poshaktaranom.ir/category/vest-skirt-set,0,https://www.poshaktaranom.ir/category/vest-skirt-set,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/coat-skirt-set,sitemap,category,,200,https://www.poshaktaranom.ir/category/coat-skirt-set,0,https://www.poshaktaranom.ir/category/coat-skirt-set,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/coat-pants-set,sitemap,category,,200,https://www.poshaktaranom.ir/category/coat-pants-set,0,https://www.poshaktaranom.ir/category/coat-pants-set,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/women-skirts,sitemap,category,,200,https://www.poshaktaranom.ir/category/women-skirts,0,https://www.poshaktaranom.ir/category/women-skirts,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/women-pants,sitemap,category,,200,https://www.poshaktaranom.ir/category/women-pants,0,https://www.poshaktaranom.ir/category/women-pants,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/kaftan,sitemap,category,,200,https://www.poshaktaranom.ir/category/kaftan,0,https://www.poshaktaranom.ir/category/kaftan,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/women-coats,sitemap,category,,200,https://www.poshaktaranom.ir/category/women-coats,0,https://www.poshaktaranom.ir/category/women-coats,"index, follow",,yes,1,INDEX,
https://www.poshaktaranom.ir/category/shomiz,sitemap,category,,200,https://www.poshaktaranom.ir/category/shomiz,0,https://www.poshaktaranom.ir/category/shomiz,"index, follow",,yes,0,INDEX,
